,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
							2017/18						"
177,2017,Iman Shumpert,31,1937,9.0,6.2,7.8,1.6,1.1,12.9,2.0,0.41100000000000003,0.36,0.469,90.0,0.789,567,Not MVP,196.0,99.0,6,"$10,337,079"
178,2017,Isaiah Canaan,0,592,8.1,4.5,9.0,1.9,0.1,9.6,0.5,0.364,0.266,0.48100000000000004,33.0,0.909,181,Not MVP,183.0,91.0,4,"$1,113,863"
179,2017,Isaiah Taylor,0,52,0.3,3.1,7.1,0.9,1.6,0.0,0.0,0.14300000000000002,0.0,0.2,2.0,0.5,3,Not MVP,190.0,77.0,1,"$1,312,611"
180,2017,Isaiah Thomas,76,2569,26.5,4.4,32.6,1.4,0.4,10.7,12.6,0.46299999999999997,0.379,0.528,649.0,0.909,2199,Not MVP,185.0,81.0,6,"$6,261,394"
181,2017,Isaiah Whitehead,26,1643,7.5,5.9,17.7,1.2,1.7,20.3,-0.8,0.402,0.295,0.446,113.0,0.805,543,Not MVP,193.0,96.0,1,"$1,312,611"
183,2017,Ivica Zubac,11,609,17.0,14.3,8.1,1.1,4.4,10.4,1.1,0.529,0.0,0.536,49.0,0.653,284,Not MVP,216.0,120.0,1,"$1,312,611"
187,2017,JaMychal Green,75,2101,13.5,14.8,6.3,1.1,1.5,14.1,5.8,0.5,0.379,0.5489999999999999,167.0,0.802,689,Not MVP,206.0,102.0,3,"$8,533,333"
188,2017,JaVale McGee,10,739,25.2,18.1,3.8,1.2,7.1,9.8,3.5,0.652,0.0,0.66,111.0,0.505,472,Not MVP,213.0,122.0,9,"$2,116,955"
189,2017,Jabari Parker,50,1728,19.1,10.6,14.3,1.5,1.1,9.2,4.1,0.49,0.365,0.525,218.0,0.743,1025,Not MVP,203.0,113.0,3,"$6,782,392"
190,2017,Jae Crowder,72,2335,14.9,9.9,10.1,1.5,0.8,8.8,6.7,0.46299999999999997,0.39799999999999996,0.54,217.0,0.8109999999999999,999,Not MVP,198.0,106.0,5,"$6,796,117"
192,2017,Jake Layman,1,249,4.9,5.3,6.2,1.8,1.0,10.2,-0.3,0.292,0.255,0.342,17.0,0.765,78,Not MVP,206.0,95.0,1,"$1,312,611"
194,2017,Jamal Crawford,1,2157,12.0,3.3,15.1,1.4,0.5,12.3,1.9,0.413,0.36,0.444,203.0,0.857,1008,Not MVP,196.0,90.0,17,"$15,270,762"
195,2017,Jamal Murray,10,1764,11.9,6.7,14.0,1.4,1.1,12.6,1.4,0.40399999999999997,0.33399999999999996,0.466,120.0,0.883,811,Not MVP,193.0,93.0,1,"$3,858,618"
196,2017,Jameer Nelson,39,2045,11.4,5.2,26.0,1.3,0.3,17.0,2.8,0.444,0.38799999999999996,0.489,63.0,0.7140000000000001,687,Not MVP,183.0,86.0,13,"$6,998,920"
197,2017,James Ennis,28,1501,10.6,9.9,6.5,1.6,1.2,13.8,3.2,0.455,0.37200000000000005,0.516,110.0,0.782,429,Not MVP,201.0,95.0,3,"$3,028,410"
198,2017,James Harden,81,2947,27.3,12.2,50.7,2.0,1.0,19.5,15.0,0.44,0.34700000000000003,0.53,881.0,0.847,2356,Not MVP,196.0,99.0,8,"$28,299,399"
199,2017,James Johnson,5,2085,17.0,9.9,20.9,1.8,3.2,16.5,5.1,0.479,0.34,0.5479999999999999,215.0,0.7070000000000001,975,Not MVP,206.0,113.0,8,"$13,734,000"
202,2017,James Young,0,220,10.0,6.6,2.6,2.3,0.7,6.1,0.3,0.431,0.34299999999999997,0.565,9.0,0.667,68,Not MVP,198.0,97.0,3,"$75,000"
203,2017,Jared Dudley,7,1362,10.6,9.0,12.5,1.5,0.9,16.1,1.8,0.45399999999999996,0.379,0.5589999999999999,65.0,0.662,434,Not MVP,201.0,102.0,10,"$10,000,000"
205,2017,Jarell Eddie,0,62,9.7,6.1,0.0,0.8,0.0,4.2,0.1,0.316,0.25,0.667,9.0,0.889,24,Not MVP,201.0,98.0,2,"$166,256"
206,2017,Jarell Martin,3,558,8.7,16.6,2.2,1.6,1.5,13.9,0.6,0.384,0.36,0.389,50.0,0.8,165,Not MVP,208.0,108.0,2,"$1,471,382"
208,2017,Jarrett Jack,0,33,7.7,0.0,20.3,3.0,0.0,43.6,0.0,0.667,0.0,1.0,2.0,1.0,6,Not MVP,190.0,90.0,12,"$2,328,652"
